order_id,item,quantity,rate,order_data,delivery_address,payment_method
7968,Heating Pad,498,7489.51,2024-11-21,17 Lakeview Avenue - Vancouver - Canada,Paypal
5619,Spice Rack,463,119708.87,2026-02-15,90 Forest Place - Ghent - Belgium,NFC
8171,Luggage Tag,405,36035.93,2025-07-15,65 Lighthouse Road - Odense - Denmark,credit/debit cards
2612,Melatonin,102,5746.23,2023-09-23,90 Ash Way - Tokyo - Japan,Paypal
10007,Action Figure,105,75384.22,2024-05-06,92 Savanna Road - Johannesburg - South Africa,NFC
6010,Formal Blazer,283,30100.8,2023-11-26,59 Rainforest Avenue - Rio de Janeiro - Brazil,NFC
10381,Skipping Rope,371,61559.92,2025-07-09,34 Birch Boulevard - Berlin - Germany,Paypal
2523,Spice Rack,375,107521.26,2024-09-04,24 Alpine Square - Salzburg - Austria,credit/debit cards
5973,USB-C Hub,440,106078.91,2024-06-09,67 Walnut Street - Paris - France,Cash On Delivery
7963,Playing Cards,70,80471.98,2023-01-28,22 Temple Boulevard - Chiang Mai - Thailand,Paypal
5956,Green Tea,108,131038.04,2025-01-22,80 Ivy Court - Vienna - Austria,credit/debit cards
5462,Rice Cooker,95,62169.14,2024-06-15,22 Sycamore Square - Mexico City - Mexico,Apple Pay
2662,Foam Roller,307,5323.76,2023-03-09,67 Walnut Street - Paris - France,Google Pay
4810,Toaster Oven,357,109813.35,2023-09-05,61 Moorland Boulevard - Manchester - UK,NFC
3387,Cable Organizer,76,29690.85,2025-05-08,91 Juniper Way - Lisbon - Portugal,Apple Pay
4015,Digital Thermometer,484,23655.52,2025-06-03,61 Moorland Boulevard - Manchester - UK,Paypal
7837,USB-C Hub,178,9425.66,2024-08-13,34 Bollywood Court - Chennai - India,Google Pay
7303,Facial Cleanser,371,43971.24,2025-06-13,12 Terrace Square - Christchurch - New Zealand,Cash On Delivery
7072,Mechanical Keyboard,421,43738.03,2025-05-22,14 Pyramid Drive - Alexandria - Egypt,Paypal
4618,Fanny Pack,33,40605.17,2025-01-01,94 Harborview Street - Hamburg - Germany,Google Pay
10597,Granola,482,79508.48,2023-09-20,77 Poplar Place - Seoul - South Korea,credit/debit cards
1876,Stapler,539,100720.11,2024-05-22,85 Riverside Drive - Chicago - USA,NFC
4426,Spiral Notebook,533,125665.76,2025-08-20,78 Oak Lane - Toronto - Canada,Cash On Delivery
2180,Action Figure,89,12645.95,2024-01-15,22 Sycamore Square - Mexico City - Mexico,credit/debit cards
4389,Hand Sanitizer,226,20191.85,2025-02-21,21 Lotus Avenue - Singapore,credit/debit cards
10619,Dark Chocolate,140,79059.68,2025-09-02,22 Temple Boulevard - Chiang Mai - Thailand,Paypal
4663,Slim Fit Jeans,258,13193.22,2024-09-28,58 Atlas Lane - Marrakech - Morocco,Buy now pay later
10086,Nail Polish Set,542,49713.12,2024-08-29,57 Glacier Mews - Geneva - Switzerland,NFC
5951,Skipping Rope,427,83709.21,2023-08-27,69 Redwood Mews - Rome - Italy,Cash On Delivery
7997,Air Fryer,431,104605.18,2024-08-16,88 Coral Way - Bali - Indonesia,Cash On Delivery
5574,Tote Bag,242,29195.95,2023-03-12,98 Sauna Court - Turku - Finland,NFC
3658,USB-C Hub,521,89527.31,2023-06-02,68 Desert Road - Seville - Spain,Paypal
8643,Hot Sauce,512,86564.78,2024-10-08,47 Safari Road - Mombasa - Kenya,Apple Pay
10692,Highlighter Set,451,115197.12,2023-10-01,56 Montmartre Road - Marseille - France,Buy now pay later
3635,Luggage Tag,455,42075.45,2024-02-27,88 Coral Way - Bali - Indonesia,credit/debit cards
8788,Action Figure,367,100525.83,2024-03-13,56 Montmartre Road - Marseille - France,Cash On Delivery
3611,Hooded Sweatshirt,65,100781.42,2024-07-21,21 Lotus Avenue - Singapore,Google Pay
8169,Foam Roller,168,32088.73,2025-04-07,54 Orchid Road - Kuala Lumpur - Malaysia,credit/debit cards
8890,Dark Chocolate,430,83254.51,2024-06-19,99 Beech Road - Oslo - Norway,credit/debit cards
5494,Hiking Boots,191,90488.63,2025-09-22,14 Laurel Lane - Copenhagen - Denmark,Paypal
8369,Skipping Rope,107,36808.48,2024-07-31,92 Savanna Road - Johannesburg - South Africa,Apple Pay
3722,Formal Blazer,527,60568.23,2026-03-11,43 Aztec Boulevard - Guadalajara - Mexico,Paypal
1792,Eye Cream,278,58421.97,2026-03-19,25 Rowan Boulevard - Zurich - Switzerland,Google Pay
1964,Sunscreen SPF50,480,103662.74,2024-05-29,88 Coral Way - Bali - Indonesia,NFC
5470,Fanny Pack,168,140.1,2025-06-22,67 Walnut Street - Paris - France,Buy now pay later
10026,Green Tea,208,67162.37,2024-06-28,32 Aurora Drive - Stavanger - Norway,Paypal
2275,Rice Cooker,200,24740.82,2025-10-27,26 Beachfront Drive - Cancun - Mexico,Apple Pay
5558,Slip-On Loafers,216,86695.02,2025-06-23,15 Mountain Square - Bangalore - India,Paypal
8041,Yoga Mat,251,91186.11,2024-02-16,13 Sunrise Close - Cairo - Egypt,Google Pay
3023,Highlighter Set,175,67175.75,2024-01-28,87 Viking Place - Malmo - Sweden,Google Pay
8216,Jigsaw Puzzle,455,72654.9,2025-11-02,17 Lakeview Avenue - Vancouver - Canada,Apple Pay
4059,Jigsaw Puzzle,190,42251.03,2024-10-06,22 Sycamore Square - Mexico City - Mexico,Cash On Delivery
9087,Knife Set,253,42018.55,2025-04-02,37 Canal Court - Rotterdam - Netherlands,credit/debit cards
6792,Melatonin,480,99859.43,2025-03-12,46 Harbor Close - Aarhus - Denmark,Paypal
6469,Bluetooth Speaker,250,17693.54,2023-08-02,99 Silk Place - Lahore - Pakistan,Cash On Delivery
2767,Cable Organizer,19,103394.0,2023-10-22,15 Mountain Square - Bangalore - India,credit/debit cards
5632,USB-C Hub,14,87789.59,2025-11-25,43 Mango Hill - Istanbul - Turkey,Google Pay
9566,Fish Oil Capsules,250,118527.04,2023-12-11,12 Baker Street - London - UK,Buy now pay later
1195,Rain Boots,365,34895.1,2025-10-19,65 Lighthouse Road - Odense - Denmark,credit/debit cards
8585,Spiral Notebook,525,67852.56,2024-03-08,47 Holly Drive - Helsinki - Finland,Cash On Delivery
5928,Frisbee,84,5270.33,2025-09-24,98 Garden Boulevard - Karachi - Pakistan,Apple Pay
8195,Chess Set,308,122282.04,2024-11-18,33 Spruce Street - Amsterdam - Netherlands,Cash On Delivery
7633,Multivitamin,170,90519.36,2023-05-17,91 Juniper Way - Lisbon - Portugal,Buy now pay later
5321,Webcam HD,258,83484.57,2023-11-30,34 Birch Boulevard - Berlin - Germany,NFC
4086,Mixing Bowl Set,253,98194.66,2026-01-24,65 Petal Lane - Dhaka - Bangladesh,Cash On Delivery
7273,Face Moisturizer,183,38134.69,2023-09-19,21 Zulu Square - Durban - South Africa,Cash On Delivery
2402,Laptop Bag,23,80937.42,2023-10-12,58 Alder Close - Brussels - Belgium,Google Pay
6841,Desk Planner,54,107334.75,2023-07-14,87 Viking Place - Malmo - Sweden,Apple Pay
1947,Nail Polish Set,297,12142.87,2024-12-25,90 Forest Place - Ghent - Belgium,Paypal
7499,Coffee Maker,135,128485.53,2025-08-12,34 Bollywood Court - Chennai - India,Buy now pay later
7288,Smart Plug,191,119519.93,2026-01-05,57 Glacier Mews - Geneva - Switzerland,Apple Pay
1844,Resistance Bands,63,129048.4,2025-11-08,65 Lighthouse Road - Odense - Denmark,NFC
8575,Polo Shirt,40,108329.58,2025-11-06,92 Savanna Road - Johannesburg - South Africa,Apple Pay
5158,Facial Cleanser,82,39471.85,2025-11-30,12 Terrace Square - Christchurch - New Zealand,credit/debit cards
8869,Board Game,218,77949.59,2024-11-07,23 Maple Drive - Sydney - Australia,Buy now pay later
1416,Facial Cleanser,102,16143.82,2025-08-26,76 Carnival Close - Brasilia - Brazil,credit/debit cards
2794,Eye Cream,139,101071.68,2025-01-23,45 Elm Avenue - New York - USA,credit/debit cards
5940,Smart Watch,177,20628.26,2023-06-30,47 Holly Drive - Helsinki - Finland,Paypal
2882,Stapler,171,116162.64,2023-02-20,99 Silk Place - Lahore - Pakistan,Paypal
4298,Dumbbells,19,32271.23,2023-05-15,69 Redwood Mews - Rome - Italy,Google Pay
7606,Cable Organizer,77,21535.43,2024-02-25,56 Pine Road - Auckland - New Zealand,Cash On Delivery
2445,Denim Jacket,528,9545.47,2024-08-20,23 Promenade Drive - Munich - Germany,Cash On Delivery
7777,Building Blocks,376,95338.2,2025-01-27,48 Riverside Mews - Shanghai - China,NFC
2034,Vitamin C Tablets,81,24990.37,2024-09-14,39 Vineyard Close - Lyon - France,credit/debit cards
2752,Face Moisturizer,167,26526.03,2024-03-19,87 Jasmine Drive - Jakarta - Indonesia,credit/debit cards
6877,First Aid Kit,221,22779.16,2025-05-16,88 Coral Way - Bali - Indonesia,NFC
8935,Rain Boots,504,41010.19,2025-10-11,87 Jasmine Drive - Jakarta - Indonesia,Apple Pay
2706,Air Fryer,490,126127.2,2023-10-06,37 Canal Court - Rotterdam - Netherlands,Apple Pay
4000,Fish Oil Capsules,431,65232.76,2023-11-20,22 Sycamore Square - Mexico City - Mexico,Buy now pay later
10252,Rain Boots,71,34993.33,2025-12-30,54 Orchid Road - Kuala Lumpur - Malaysia,NFC
10897,Index Cards,279,22872.14,2026-02-14,78 Oak Lane - Toronto - Canada,Paypal
6811,Hooded Sweatshirt,276,2579.43,2024-01-15,76 Bamboo Street - Bangkok - Thailand,credit/debit cards
5470,Dish Rack,359,48939.98,2024-08-31,79 Horizon Square - Lagos - Nigeria,credit/debit cards
4469,Fitness Tracker,471,14790.75,2024-11-18,14 Pyramid Drive - Alexandria - Egypt,Paypal
7125,Toaster Oven,187,3665.88,2025-01-23,69 Bayside Way - Brisbane - Australia,NFC
6909,Oat Milk,315,13842.12,2025-10-14,26 Beachfront Drive - Cancun - Mexico,Google Pay
3947,Hand Sanitizer,156,42714.95,2023-05-24,43 Aztec Boulevard - Guadalajara - Mexico,NFC
